latitude,longitude,acq_date,confidence
27.1401,82.7539,2025-04-04,81
27.3507,84.4313,2025-04-04,62
27.352,84.4425,2025-04-04,74
27.8585,83.6918,2025-04-04,69
27.4481,84.4788,2025-04-04,73
27.7518,82.8601,2025-04-04,89
27.6159,84.4717,2025-04-04,75
27.7411,82.7791,2025-04-04,91
27.4299,85.1144,2025-04-04,62
27.6043,84.7808,2025-04-04,56
27.6125,84.8513,2025-04-04,61
27.5266,84.2885,2025-04-04,63
27.3173,82.7013,2025-04-04,69
27.3186,82.7113,2025-04-04,56
27.3213,82.7313,2025-04-04,72
27.7918,84.4883,2025-04-04,66
27.7816,84.7287,2025-04-04,58
28.1214,81.9145,2025-04-04,64
27.7425,82.7891,2025-04-04,91
28.0593,82.135,2025-04-04,80
27.8464,82.2563,2025-04-04,83
27.8478,82.2662,2025-04-04,82
27.8315,82.2792,2025-04-04,92
27.8375,82.8806,2025-04-04,64
27.8388,82.8906,2025-04-04,75
27.8514,83.1291,2025-04-04,55
27.7334,82.5844,2025-04-04,91
27.7348,82.5945,2025-04-04,79
27.7607,82.8586,2025-04-04,100
27.9861,84.6603,2025-04-04,77
27.9587,82.1386,2025-04-04,76
27.3461,84.4379,2025-04-04,62
27.357,84.3278,2025-04-04,56
27.3489,84.4605,2025-04-04,83
28.4032,81.6764,2025-04-04,77
28.3017,82.2167,2025-04-04,70
28.2036,81.843,2025-04-04,85
28.6845,82.6765,2025-04-04,76
27.3598,84.3686,2025-04-04,54
27.1807,87.7047,2025-04-04,93
28.0346,82.1697,2025-04-04,51
27.3585,84.318,2025-04-04,78
27.328,82.753,2025-04-04,81
26.9603,86.4182,2025-04-04,91
28.4106,81.6648,2025-04-04,52
27.3613,84.3588,2025-04-04,79
27.1788,85.8309,2025-04-04,67
26.9371,87.3294,2025-04-04,51
26.9394,87.3162,2025-04-04,71
27.3528,84.8478,2025-04-04,68
27.7462,82.7942,2025-04-04,60
27.4396,85.1153,2025-04-04,53
27.7923,82.7272,2025-04-04,54
27.5553,84.9698,2025-04-04,70
27.551,85.0667,2025-04-04,65
27.6526,84.6599,2025-04-04,58
27.3448,84.527,2025-04-04,58
28.4889,82.0384,2025-04-04,75
28.4517,81.637,2025-04-04,70
28.2957,80.4129,2025-04-04,68
27.4054,85.2635,2025-04-04,82
27.4068,85.2759,2025-04-04,77
27.3076,84.7616,2025-04-04,51
27.3604,85.406,2025-04-04,94
27.2191,85.0671,2025-04-04,77
27.2418,85.613,2025-04-04,70
27.2623,85.7973,2025-04-04,84
27.1558,85.3085,2025-04-04,51
26.8437,83.3023,2025-04-04,87
27.14,85.7861,2025-04-04,62
27.1332,85.9087,2025-04-04,75
28.8607,80.2983,2025-04-04,64
28.6782,81.3427,2025-04-04,96
28.6424,81.2162,2025-04-04,58
28.6289,81.505,2025-04-04,73
28.5505,81.6847,2025-04-04,66
28.5519,81.6946,2025-04-04,72
28.6834,82.6693,2025-04-04,60
28.6847,82.6794,2025-04-04,100
28.5113,81.4674,2025-04-04,56
28.3865,80.782,2025-04-04,66
28.3255,80.4282,2025-04-04,95
28.2942,80.4027,2025-04-04,68
27.3475,84.4492,2025-04-04,88
27.6527,84.5772,2025-04-04,88
28.5048,81.4619,2025-04-04,55
27.5967,83.8768,2025-04-04,74
28.9207,80.7675,2025-04-04,56
28.858,80.3094,2025-04-04,85
28.8494,80.3247,2025-04-04,80
28.2138,80.3665,2025-04-04,53
28.2454,80.8295,2025-04-04,55
28.2495,80.8358,2025-04-04,59
28.1862,80.3912,2025-04-04,56
28.0459,80.3226,2025-04-04,58
28.205,81.8385,2025-04-04,68
28.0081,81.8105,2025-04-04,63
28.8556,80.1991,2025-04-04,52
